,Series_reference,Data_value,Suppressed
0,BDCQ.SF1AA2CA,1116.386,
1,BDCQ.SF1AA2CA,1070.874,
2,BDCQ.SF1AA2CA,1054.408,
3,BDCQ.SF1AA2CA,1010.665,
4,BDCQ.SF1AA2CA,1233.7,
5,BDCQ.SF1AA2CA,1282.436,
6,BDCQ.SF1AA2CA,1290.82,
7,BDCQ.SF1AA2CA,1412.007,
8,BDCQ.SF1AA2CA,1488.055,
9,BDCQ.SF1AA2CA,1497.678,
10,BDCQ.SF1AA2CA,1570.507,
11,BDCQ.SF1AA2CA,1393.749,
12,BDCQ.SF1AA2CA,1517.143,
13,BDCQ.SF1AA2CA,1381.514,
14,BDCQ.SF1AA2CA,1370.985,
15,BDCQ.SF1AA2CA,1073.017,
16,BDCQ.SF1AA2CA,1131.445,
17,BDCQ.SF1AA2CA,1440.101,
18,BDCQ.SF1AA2CA,1489.979,
19,BDCQ.SF1AA2CA,1390.782,
20,BDCQ.SF1AA2CA,1826.73,
21,BDCQ.SF1AA2CA,1710.073,
22,BDCQ.SF1AA2CA,1559.479,
23,BDCQ.SF1AA2CA,1285.083,
24,BDCQ.SF1AA2CA,1684.422,
25,BDCQ.SF1AA2CA,1665.926,
26,BDCQ.SF1AA2CA,1501.095,
27,BDCQ.SF1AA2CA,1209.443,
28,BDCQ.SF1AA2CA,1424.748,
29,BDCQ.SF1AA2CA,1414.896,
30,BDCQ.SF1AA2CS,1061.724,
31,BDCQ.SF1AA2CS,1055.712,
32,BDCQ.SF1AA2CS,1053.118,
33,BDCQ.SF1AA2CS,1083.76,
34,BDCQ.SF1AA2CS,1175.139,
35,BDCQ.SF1AA2CS,1261.577,
36,BDCQ.SF1AA2CS,1285.242,
37,BDCQ.SF1AA2CS,1522.593,
38,BDCQ.SF1AA2CS,1418.324,
39,BDCQ.SF1AA2CS,1466.204,
40,BDCQ.SF1AA2CS,1563.875,
41,BDCQ.SF1AA2CS,1511.373,
42,BDCQ.SF1AA2CS,1443.748,
43,BDCQ.SF1AA2CS,1348.342,
44,BDCQ.SF1AA2CS,1365.415,
45,BDCQ.SF1AA2CS,1167.794,
46,BDCQ.SF1AA2CS,1076.923,
47,BDCQ.SF1AA2CS,1400.641,
48,BDCQ.SF1AA2CS,1485.496,
49,BDCQ.SF1AA2CS,1514.971,
50,BDCQ.SF1AA2CS,1741.425,
51,BDCQ.SF1AA2CS,1659.228,
52,BDCQ.SF1AA2CS,1553.924,
53,BDCQ.SF1AA2CS,1402.075,
54,BDCQ.SF1AA2CS,1608.346,
55,BDCQ.SF1AA2CS,1611.367,
56,BDCQ.SF1AA2CS,1495.682,
57,BDCQ.SF1AA2CS,1323.564,
58,BDCQ.SF1AA2CS,1360.712,
59,BDCQ.SF1AA2CS,1363.488,
60,BDCQ.SF1AA2CT,1026.096,
61,BDCQ.SF1AA2CT,1066.744,
62,BDCQ.SF1AA2CT,1053.288,
63,BDCQ.SF1AA2CT,1090.602,
64,BDCQ.SF1AA2CT,1172.376,
65,BDCQ.SF1AA2CT,1253.436,
66,BDCQ.SF1AA2CT,1332.348,
67,BDCQ.SF1AA2CT,1395.969,
68,BDCQ.SF1AA2CT,1429.28,
69,BDCQ.SF1AA2CT,1481.028,
70,BDCQ.SF1AA2CT,1539.276,
71,BDCQ.SF1AA2CT,1522.218,
72,BDCQ.SF1AA2CT,1432.52,
73,BDCQ.SF1AA2CT,1365.241,
74,BDCQ.SF1AA2CT,1363.644,
75,BDCQ.SF1AA2CT,,
76,BDCQ.SF1AA2CT,,
77,BDCQ.SF1AA2CT,,
78,BDCQ.SF1AA2CT,,
79,BDCQ.SF1AA2CT,,
80,BDCQ.SF1AA2CT,,
81,BDCQ.SF1AA2CT,,
82,BDCQ.SF1AA2CT,,
83,BDCQ.SF1AA2CT,,
84,BDCQ.SF1AA2CT,,
85,BDCQ.SF1AA2CT,,
86,BDCQ.SF1AA2CT,,
87,BDCQ.SF1AA2CT,,
88,BDCQ.SF1AA2CT,,
89,BDCQ.SF1AA2CT,,
90,BDCQ.SF1AA3CA,1189.735,
91,BDCQ.SF1AA3CA,1144.938,
92,BDCQ.SF1AA3CA,1390.589,
93,BDCQ.SF1AA3CA,1310.912,
94,BDCQ.SF1AA3CA,1241.466,
95,BDCQ.SF1AA3CA,1288.648,
96,BDCQ.SF1AA3CA,1772.086,
97,BDCQ.SF1AA3CA,1554.221,
98,BDCQ.SF1AA3CA,1441.386,
99,BDCQ.SF1AA3CA,1364.769,
